price,date,coin
2.09197416966869,2026-01-15 07:01:04.105,ripple
3314.325267632158,2026-01-15 07:01:28.180,ethereum
74.36223050375591,2026-01-15 07:02:24.971,litecoin
96266.23726303336,2026-01-15 07:03:44.673,bitcoin
74.55018098072657,2026-01-15 08:01:24.486,litecoin
2.0994996299692215,2026-01-15 08:01:27.466,ripple
96544.38050189661,2026-01-15 08:02:21.002,bitcoin
3327.8677296056735,2026-01-15 08:02:40.057,ethereum
2.1028196743909082,2026-01-15 09:01:17.683,ripple
96604.16840117944,2026-01-15 09:01:38.422,bitcoin
3334.5296030232553,2026-01-15 09:02:01.906,ethereum
75.18622611470397,2026-01-15 09:02:55.088,litecoin
2.1180793154208257,2026-01-15 10:02:51.483,ripple
76.07008692880409,2026-01-15 10:03:06.014,litecoin
96990.84544456062,2026-01-15 10:03:51.453,bitcoin
3362.3618004275554,2026-01-15 10:03:52.092,ethereum
2.114849369575106,2026-01-15 11:01:36.513,ripple
3362.6673671910867,2026-01-15 11:02:25.832,ethereum
75.67439126451423,2026-01-15 11:02:42.629,litecoin
96798.15684648813,2026-01-15 11:02:50.892,bitcoin
2.111475552263027,2026-01-15 12:01:42.718,ripple
75.56933512362572,2026-01-15 12:02:09.121,litecoin
96532.64855658218,2026-01-15 12:03:00.499,bitcoin
3348.358623369633,2026-01-15 12:03:01.165,ethereum
75.7620216228276,2026-01-15 13:00:32.123,litecoin
2.117474566893211,2026-01-15 13:00:57.220,ripple
3367.9780100538946,2026-01-15 13:01:09.653,ethereum
96937.80266671481,2026-01-15 13:03:20.248,bitcoin
75.95445033513407,2026-01-15 14:01:46.163,litecoin
96875.02238453715,2026-01-15 14:01:57.356,bitcoin
3374.4562131864677,2026-01-15 14:01:57.493,ethereum
2.125340701474953,2026-01-15 14:01:58.831,ripple
2.0978527319551765,2026-01-15 15:00:41.295,ripple
3341.514724617176,2026-01-15 15:01:31.257,ethereum
74.94086815009106,2026-01-15 15:01:31.359,litecoin
96203.13998797821,2026-01-15 15:03:40.035,bitcoin
2.083450945212518,2026-01-15 16:00:50.981,ripple
3322.664690484606,2026-01-15 16:01:47.361,ethereum
71.80374446379396,2026-01-15 16:01:54.103,litecoin
95648.34069157839,2026-01-15 16:01:54.416,bitcoin
3329.783641343506,2026-01-15 17:01:06.253,ethereum
2.0920516889854506,2026-01-15 17:01:13.316,ripple
72.93839778848421,2026-01-15 17:01:23.343,litecoin
96711.69860507421,2026-01-15 17:01:30.921,bitcoin
72.8028559081024,2026-01-15 18:00:57.418,litecoin
2.0831249826632585,2026-01-15 18:02:03.135,ripple
96554.47174223741,2026-01-15 18:02:41.739,bitcoin
3301.353256051389,2026-01-15 18:02:54.085,ethereum
95812.0243348589,2026-01-15 19:00:55.817,bitcoin
71.87157194196571,2026-01-15 19:01:11.660,litecoin
3285.7714307182277,2026-01-15 19:01:59.957,ethereum
2.069207689697254,2026-01-15 19:03:29.495,ripple
3293.5684696495814,2026-01-15 20:02:40.104,ethereum
2.06538969116236,2026-01-15 20:02:41.942,ripple
71.98695121522252,2026-01-15 20:02:42.444,litecoin
95447.65948100906,2026-01-15 20:02:46.310,bitcoin
3285.7720217014967,2026-01-15 21:01:04.927,ethereum
71.67339627418295,2026-01-15 21:01:50.243,litecoin
95250.98350977496,2026-01-15 21:01:54.841,bitcoin
2.0638518308397122,2026-01-15 21:01:54.942,ripple
72.09653505414256,2026-01-15 22:01:43.364,litecoin
95549.76044414917,2026-01-15 22:02:10.326,bitcoin
3299.7587454800946,2026-01-15 22:02:13.034,ethereum
2.0722070790849556,2026-01-15 22:02:19.082,ripple
72.33825987154479,2026-01-15 23:01:37.414,litecoin
3305.671361431653,2026-01-15 23:01:50.172,ethereum
95576.10218873496,2026-01-15 23:02:12.255,bitcoin
2.0763976886772153,2026-01-15 23:02:19.300,ripple
2.0780342399400897,2026-01-16 00:00:36.072,ripple
3317.2974244936777,2026-01-16 00:01:23.230,ethereum
95584.82797878512,2026-01-16 00:01:36.477,bitcoin
72.17453066695636,2026-01-16 00:01:45.732,litecoin
95593.93634533655,2026-01-16 01:00:32.885,bitcoin
3316.3160531598674,2026-01-16 01:00:34.044,ethereum
2.0846507613701006,2026-01-16 01:01:36.558,ripple
72.0064968509604,2026-01-16 01:03:28.821,litecoin
95616.39277780002,2026-01-16 02:01:39.136,bitcoin
2.077881044240881,2026-01-16 02:01:39.424,ripple
71.938570608064,2026-01-16 02:01:39.578,litecoin
3312.7604084426757,2026-01-16 02:01:43.501,ethereum
95496.63067444603,2026-01-16 03:01:27.301,bitcoin
3302.7315763871707,2026-01-16 03:01:29.194,ethereum
72.39627453290895,2026-01-16 03:01:30.240,litecoin
2.073897687105272,2026-01-16 03:04:07.018,ripple
72.35577098107298,2026-01-16 04:02:03.328,litecoin
3294.743898761574,2026-01-16 04:02:04.598,ethereum
2.0651890609807904,2026-01-16 04:02:14.079,ripple
95312.14486182708,2026-01-16 04:02:21.266,bitcoin
2.0609589014845753,2026-01-16 05:02:07.536,ripple
3287.7541258651827,2026-01-16 05:02:21.404,ethereum
95293.86478816382,2026-01-16 05:02:24.022,bitcoin
71.71778094860126,2026-01-16 05:03:49.669,litecoin
95622.67080682832,2026-01-16 06:01:24.686,bitcoin
2.0713925990646525,2026-01-16 06:01:27.099,ripple
72.10690131725048,2026-01-16 06:02:10.366,litecoin
3309.3221055773697,2026-01-16 06:02:21.671,ethereum
72.1777818820684,2026-01-16 07:01:17.726,litecoin
2.072461288236667,2026-01-16 07:01:19.840,ripple
95702.89953328231,2026-01-16 07:01:26.177,bitcoin
3313.1327217828975,2026-01-16 07:02:27.071,ethereum
3306.999912834378,2026-01-16 08:00:23.838,ethereum
72.14845412666115,2026-01-16 08:01:25.747,litecoin
2.072665757847875,2026-01-16 08:02:43.661,ripple
95615.73239622756,2026-01-16 08:03:28.468,bitcoin
72.45903405297449,2026-01-16 09:01:52.682,litecoin
2.074241145560348,2026-01-16 09:01:56.312,ripple
3311.4889363379634,2026-01-16 09:02:03.826,ethereum
95649.47637238866,2026-01-16 09:03:40.431,bitcoin
95589.97452470553,2026-01-16 10:03:02.305,bitcoin
3307.1564828771297,2026-01-16 10:03:05.930,ethereum
72.17359268057749,2026-01-16 10:03:06.065,litecoin
2.0669522945460375,2026-01-16 10:03:13.007,ripple
2.0608608183933503,2026-01-16 11:01:06.365,ripple
72.07044125456913,2026-01-16 11:03:24.684,litecoin
95259.49273810243,2026-01-16 11:03:36.964,bitcoin
3295.4005879675237,2026-01-16 11:03:39.508,ethereum
3300.233824379366,2026-01-16 12:00:26.462,ethereum
72.7204623723332,2026-01-16 12:03:15.705,litecoin
95391.14629885223,2026-01-16 12:03:48.490,bitcoin
2.0645117857627873,2026-01-16 12:03:50.305,ripple
95401.61606126779,2026-01-16 13:01:00.960,bitcoin
3306.5048191946844,2026-01-16 13:01:08.004,ethereum
72.47808751393683,2026-01-16 13:01:09.877,litecoin
2.06193254058909,2026-01-16 13:01:13.635,ripple
95408.7574991596,2026-01-16 14:01:21.615,bitcoin
72.52058793060488,2026-01-16 14:03:17.182,litecoin
2.058978241122275,2026-01-16 14:03:41.592,ripple
3309.5950030848853,2026-01-16 14:04:19.179,ethereum
95197.56242965137,2026-01-16 15:00:26.880,bitcoin
3294.0916448801063,2026-01-16 15:02:17.030,ethereum
72.71027254236064,2026-01-16 15:03:34.875,litecoin
2.056032794527488,2026-01-16 15:03:38.588,ripple
94564.21877756322,2026-01-16 16:02:01.123,bitcoin
2.0321802561744065,2026-01-16 16:02:24.469,ripple
3263.3938005347827,2026-01-16 16:02:56.052,ethereum
71.938923183159,2026-01-16 16:04:26.670,litecoin
3277.0673366579504,2026-01-16 17:00:34.517,ethereum
2.04397338194617,2026-01-16 17:00:54.611,ripple
71.89158292374293,2026-01-16 17:02:15.967,litecoin
94774.67422759128,2026-01-16 17:02:45.958,bitcoin
94942.20146316924,2026-01-16 18:00:39.354,bitcoin
2.0501580362047216,2026-01-16 18:00:45.275,ripple
3281.6723705446616,2026-01-16 18:01:16.743,ethereum
72.42719224740743,2026-01-16 18:01:42.430,litecoin
73.94004402420147,2026-01-16 19:01:34.073,litecoin
94931.61056338983,2026-01-16 19:02:22.355,bitcoin
3276.515375452005,2026-01-16 19:02:40.615,ethereum
